Year,Title,Citation_key,Category,From_Syst/Unsyst_search,Comment
2011,"The Status of Nepal Mammals: The National Red List Series, Department of National Parks and Wildlife Conservation Kathmandu, Nepal",Lee20117584,Read - Data available,1,
2012,"Shoot, shovel and shut up: Cryptic poaching slows restoration of a large carnivore in Europe",Liberg2012910,Read - Data available,1,
1973,Determining the Relative Abundance of Coyotes by Scent Station Lines,Linhart1973,Read - Data available,1,
1998,"Trends in Mississippi predator populations, 1980-1995",Lovell1998552,Read - Data available,1,Harvest data only
2016,Conservation of large predator populations: Demographic and spatial responses of African lions to the intensity of trophy hunting,Loveridge2016247,Read - Data available,1,
2017,Long-term monitoring of a Bengal tiger (Panthera tigris tigris) population in a human-dominated landscape of Central India,Majumder2017,Read - Data available,1,
2000,"Population and ecology of the Indian fox Vulpes bengalensis at Rollapadu Wildlife Sanctuary, Andhra Pradesh, India",Manakadan2000,Read - Data available,1,
2012,Golden Jackal (Canis aureus L.) in Bulgaria: What is going on?,Markov2012,Read - Data available,1,
2009,Wolf survival and population trend using non-invasive capture-recapture techniques in the Western Alps,Marucco20091003,Read - Data available,1,
2001,Census of swift fox (vulpes velox) in Canada and northern Montana : 2000-2001 - Open Government,Moehrenschlager2001,Read - Data available,1,
2008,The Tsushima Leopard Cat ( Prionailurus bengalensis euptilura ):,Murayama2008,Read - Data available,1,Not peer reviewed
2007,Status of the brown bear in Pakistan,Nawaz200789,Read - Data available,1,
1995,Sustainability of Harvest of Culpeo Foxes in Patagonia,Novaro1995,Read - Data available,1,
2005,An empirical test of source-sink dynamics induced by hunting,Novaro2005,Read - Data available,1,
2008,"Density and demography of wolf, Canis lupus population in the western-most part of the Polish Carpathian Mountains, 1996-2003",Nowak2008,Read - Data available,1,
2005,The effects of pastoralism and protection on the density and distribution of carnivores and their prey in the Mara ecosystem of Kenya,Ogutu2005,Read - Data available,1,
2017,"Wildlife population dynamics in human-dominated landscapes under community-based conservation: The example of Nakuru Wildlife Conservancy, Kenya",Ogutu2017,Read - Data available,1,
1995,Distribution and status of small and medium-sized carnivores in Latvia,Ozolins1995,Read - Data available,1,
2005,"Ecological change, group territoriality, and population dynamics in Serengeti lions",Packer2005,Read - Data available,1,
2008,Jaguar Panthera onca population decline in the Upper Paraná Atlantic Forest of Argentina and Brazil,Paviolo2008554,Read - Data available,1,
2005,Monitoring coyote population dynamics by genotyping faeces,Prugh20051585,Read - Data available,1,
1997,Assessment of Abundance of San Joaquin Kit Foxes by Spotlight Surveys,Rails1997,Read - Data available,1,
2007,Effects of Earlier Sea Ice Breakup on Survival and Population Size of Polar Bears in Western Hudson Bay,REGEHR2007,Read - Data available,1,
2010,Bobcat population status and management in North America: Evidence of large-scale population increase,Roberts2010169,Read - Data available,1,
1961,Population Changes of Carnivores in Some Coyote-Control Areas,Robinson1961,Read - Data available,1,
2008,Sink populations in carnivore management: Cougar demography and immigration in a hunted population,Robinson20081028,Read - Data available,1,
2007,Distribution and status of the Asiatic black bear in India,Sambandam2007,Read - Data available,1,
2012,"Status of Asiatic Black Bears and Sun Bears in Xe Pian National Protected Area, Lao PDR",Scotson2012,Read - Data available,1,
2017,Projecting range-wide sun bear population trends using tree cover and camera-trap bycatch data,Scotson2017,Read - Data available,1,
2013,"Faunal Heritage of Rajasthan, India Conservation and Management of Vertebrates Volume 2",Sharma2013,Read - Data available,1,
2014,"Vigorous dynamics underlie a stable population of the endangered snow leopard Panthera uncia in Tost Mountains, South Gobi, Mongolia",Sharma2014,Read - Data available,1,
2006,Relationship between prey availability and population dynamics of the Eurasian lynx and its diet in northern Belarus,Sidorovich2006265,Read - Data available,1,
2012,Reverse of the Decline of the Endangered Iberian Lynx,Simon2012,Read - Data available,1,
2016,"High resource availability and lack of competition have increased population of a meso-carnivore—a case study of Golden Jackal in Keoladeo National Park, India",Singh2016,Read - Data available,1,
2006,An evaluation of field and non-invasive genetic methods to estimate brown bear (Ursus arctos) population size,Solberg2006a,Read - Data available,1,
2004,"Polar bear distribution and abundance on the southwestern Hudson Bay coast during open water season, in relation to population trends and annual ice patterns",Stirling2004,Read - Data available,1,
2011,"Polar bear population status in the northern Beaufort Sea, Canada, 1971-2006",Stirling2011,Read - Data available,1,
2012,"Golden jackal (Canis aureus) in Bulgaria, current status, distribution, demography and diet",Stoyanov2012,Read - Data available,1,
2016,Camera traps on wildlife crossing structures as a tool in gray Wolf (Canis lupus) management - Five-Years monitoring of Wolf abundance trends in Croatia,Sver2016,Read - Data available,1,
1994,"Size, trend, distribution and conservation of the brown bear Ursus arctos population in Sweden",Swenson1994,Read - Data available,1,
2017,"Conserving wildlife wealth of Patharia Hills Reserve Forest, Assam, India: A critical analysis",Talukdar2017,Read - Data available,1,
2017,Tigers in the terai: Strong evidence for meta-population dynamics contributing to tiger recovery and conservation in the terai arc landscape,Thapa2017,Read - Data available,1,
1996,Determining the relative abundance of European red foxes by scent- station methodology,Travaini1996500,Read - Data available,1,
2016,The fall and rise of the Icelandic Arctic fox (Vulpes lagopus): a 50-year demographic study on a non-cyclic Arctic fox population,Unnsteinsdottir20161129,Read - Data available,1,
2016,The cheetahs of Zimbabwe : distribution and population status 2015,VanderMeer2016,Read - Data available,1,
2001,"The recovery, distribution, and population dynamics of wolves on the Scandinavian peninsula, 1978-1998",Wabakken2001710,Read - Data available,1,
2000,Catastrophic decrease in an isolated population of kit foxes,White2000,Read - Data available,1,
2017,Population dynamics and threats to an apex predator outside protected areas: Implications for carnivore management,Williams2017,Read - Data available,1,
2015,American black bear population abundance and genetic structure on an island archipelago,Wilton2015,Read - Data available,1,
2011,Demography of a recovering African wild dog (Lycaon pictus) population,Woodroffe2011305,Read - Data available,1,
2006,Minimum viable population sizes and global extinction risk are unrelated,Brook2006,Read - No Data available,1,No trend data
1994,"Demography, Extinction and Intervention in a Small Population: the Case of the Serengeti Wild Dogs",Burrows1994,Read - No Data available,1,No trend data
2010,"Population status of jungle cat (Felis chaus) in Egirdir lake, Turkey",Ogurlu2010,Read - No Data available,1,No trend data
2014,Status and ecological effects of the world's largest carnivores,Ripple2014,Read - No Data available,1,No trend data
2004,"Canids: Foxes, Wolves, Jackals and Dogs. Status Survey and Conservation Action Plan",SilleroZubiri2004,Read - No Data available,1,No trend data
